
=== Testing on: shell | Scale: 2 x 2 ===
Algoritm: Nearest | Time: 7 ms | PSNR: inf | SSIM: 1.000000 | RMSE: 0.000000
Algoritm: Bicubic (a=-1.0) | Time: 101 ms | PSNR: 27.209252 | SSIM: 0.951623 | RMSE: 11.119303
Algoritm: Lanczos (a=2) | Time: 234 ms | PSNR: 27.485975 | SSIM: 0.952620 | RMSE: 10.770638

=== Testing on: shell | Scale: 2 x 2 ===
Algoritm: Nearest | Time: 10 ms | PSNR: inf | SSIM: 1.000000 | RMSE: 0.000000
Algoritm: Bilinear | Time: 4 ms | PSNR: 27.423871 | SSIM: 0.949853 | RMSE: 10.847924
Algoritm: Bicubic (a=-0.5) | Time: 16 ms | PSNR: 27.485836 | SSIM: 0.952599 | RMSE: 10.770810
Algoritm: Bicubic (a=-0.7) | Time: 16 ms | PSNR: 27.392233 | SSIM: 0.952638 | RMSE: 10.887509
Algoritm: Bicubic (a=-1.0) | Time: 16 ms | PSNR: 27.209252 | SSIM: 0.951623 | RMSE: 11.119303
Algoritm: Lanczos (a=2) | Time: 32 ms | PSNR: 27.485975 | SSIM: 0.952620 | RMSE: 10.770638
Algoritm: Lanczos (a=3) | Time: 80 ms | PSNR: 27.266881 | SSIM: 0.951475 | RMSE: 11.045773
Algoritm: Lanczos (a=4) | Time: 136 ms | PSNR: 27.155985 | SSIM: 0.950219 | RMSE: 11.187703
Algoritm: OpenCV Nearest | Time: 0 ms | PSNR: inf | SSIM: 1.000000 | RMSE: 0.000000
Algoritm: OpenCV Bilinear | Time: 3 ms | PSNR: 29.306490 | SSIM: 0.964680 | RMSE: 8.734050
Algoritm: OpenCV Bicubic | Time: 5 ms | PSNR: 35.162798 | SSIM: 0.991500 | RMSE: 4.450413
Algoritm: OpenCV Lanczos | Time: 5 ms | PSNR: 36.210860 | SSIM: 0.993356 | RMSE: 3.944547

=== Testing on: shell | Scale: 0.5 x 0.5 ===
Algoritm: Nearest | Time: 0 ms | PSNR: 20.558402 | SSIM: 0.744505 | RMSE: 23.912231
Algoritm: Bilinear | Time: 0 ms | PSNR: 20.558402 | SSIM: 0.744505 | RMSE: 23.912231
Algoritm: Bicubic (a=-0.5) | Time: 1 ms | PSNR: 20.558402 | SSIM: 0.744505 | RMSE: 23.912231
Algoritm: Bicubic (a=-0.7) | Time: 1 ms | PSNR: 20.558402 | SSIM: 0.744505 | RMSE: 23.912231
Algoritm: Bicubic (a=-1.0) | Time: 1 ms | PSNR: 20.558402 | SSIM: 0.744505 | RMSE: 23.912231
Algoritm: Lanczos (a=2) | Time: 2 ms | PSNR: 20.558402 | SSIM: 0.744505 | RMSE: 23.912231
Algoritm: Lanczos (a=3) | Time: 5 ms | PSNR: 20.558402 | SSIM: 0.744505 | RMSE: 23.912231
Algoritm: Lanczos (a=4) | Time: 11 ms | PSNR: 20.558402 | SSIM: 0.744505 | RMSE: 23.912231
Algoritm: OpenCV Nearest | Time: 0 ms | PSNR: 20.558402 | SSIM: 0.744505 | RMSE: 23.912231
Algoritm: OpenCV Bilinear | Time: 0 ms | PSNR: 22.193943 | SSIM: 0.789952 | RMSE: 19.808110
Algoritm: OpenCV Bicubic | Time: 0 ms | PSNR: 22.572100 | SSIM: 0.816066 | RMSE: 18.964228
Algoritm: OpenCV Lanczos | Time: 0 ms | PSNR: 22.249539 | SSIM: 0.805354 | RMSE: 19.681727

=== Testing on: shell | Scale: 1.5 x 0.75 ===
Algoritm: Nearest | Time: 0 ms | PSNR: 23.933108 | SSIM: 0.887993 | RMSE: 16.213799
Algoritm: Bilinear | Time: 1 ms | PSNR: 25.992592 | SSIM: 0.922306 | RMSE: 12.791179
Algoritm: Bicubic (a=-0.5) | Time: 5 ms | PSNR: 26.775758 | SSIM: 0.937116 | RMSE: 11.688326
Algoritm: Bicubic (a=-0.7) | Time: 7 ms | PSNR: 26.927674 | SSIM: 0.940196 | RMSE: 11.485674
Algoritm: Bicubic (a=-1.0) | Time: 6 ms | PSNR: 27.003106 | SSIM: 0.942292 | RMSE: 11.386359
Algoritm: Lanczos (a=2) | Time: 15 ms | PSNR: 26.771426 | SSIM: 0.937076 | RMSE: 11.694156
Algoritm: Lanczos (a=3) | Time: 23 ms | PSNR: 27.029113 | SSIM: 0.941772 | RMSE: 11.352318
Algoritm: Lanczos (a=4) | Time: 38 ms | PSNR: 27.024350 | SSIM: 0.941677 | RMSE: 11.358544
Algoritm: OpenCV Nearest | Time: 0 ms | PSNR: 23.933108 | SSIM: 0.887993 | RMSE: 16.213799
Algoritm: OpenCV Bilinear | Time: 0 ms | PSNR: 26.752769 | SSIM: 0.932141 | RMSE: 11.719302
Algoritm: OpenCV Bicubic | Time: 0 ms | PSNR: 28.558919 | SSIM: 0.956897 | RMSE: 9.519064
Algoritm: OpenCV Lanczos | Time: 1 ms | PSNR: 28.828836 | SSIM: 0.959503 | RMSE: 9.227805

=== Testing on: binaryflower | Scale: 2 x 2 ===
Algoritm: Nearest | Time: 54 ms | PSNR: inf | SSIM: 1.000000 | RMSE: 0.000000
Algoritm: Bilinear | Time: 78 ms | PSNR: 25.722619 | SSIM: 0.973228 | RMSE: 13.194995
Algoritm: Bicubic (a=-0.5) | Time: 454 ms | PSNR: 25.744562 | SSIM: 0.973468 | RMSE: 13.161703
Algoritm: Bicubic (a=-0.7) | Time: 560 ms | PSNR: 25.730918 | SSIM: 0.973390 | RMSE: 13.182394
Algoritm: Bicubic (a=-1.0) | Time: 565 ms | PSNR: 25.712480 | SSIM: 0.973354 | RMSE: 13.210407
Algoritm: Lanczos (a=2) | Time: 1223 ms | PSNR: 25.724120 | SSIM: 0.973364 | RMSE: 13.192715
Algoritm: Lanczos (a=3) | Time: 2615 ms | PSNR: 25.656321 | SSIM: 0.971937 | RMSE: 13.296095
Algoritm: Lanczos (a=4) | Time: 4560 ms | PSNR: 25.587858 | SSIM: 0.969932 | RMSE: 13.401311
Algoritm: OpenCV Nearest | Time: 2 ms | PSNR: inf | SSIM: 1.000000 | RMSE: 0.000000
Algoritm: OpenCV Bilinear | Time: 17 ms | PSNR: 27.917131 | SSIM: 0.983716 | RMSE: 10.249050
Algoritm: OpenCV Bicubic | Time: 1 ms | PSNR: 29.881364 | SSIM: 0.989592 | RMSE: 8.174703
Algoritm: OpenCV Lanczos | Time: 14 ms | PSNR: 30.115332 | SSIM: 0.985970 | RMSE: 7.957444

=== Testing on: binaryflower | Scale: 0.5 x 0.5 ===
Algoritm: Nearest | Time: 1 ms | PSNR: 19.132174 | SSIM: 0.888380 | RMSE: 28.179384
Algoritm: Bilinear | Time: 6 ms | PSNR: 19.132174 | SSIM: 0.888380 | RMSE: 28.179384
Algoritm: Bicubic (a=-0.5) | Time: 33 ms | PSNR: 19.132174 | SSIM: 0.888380 | RMSE: 28.179384
Algoritm: Bicubic (a=-0.7) | Time: 38 ms | PSNR: 19.132174 | SSIM: 0.888380 | RMSE: 28.179384
Algoritm: Bicubic (a=-1.0) | Time: 73 ms | PSNR: 19.132174 | SSIM: 0.888380 | RMSE: 28.179384
Algoritm: Lanczos (a=2) | Time: 72 ms | PSNR: 19.132174 | SSIM: 0.888380 | RMSE: 28.179384
Algoritm: Lanczos (a=3) | Time: 160 ms | PSNR: 19.132174 | SSIM: 0.888380 | RMSE: 28.179384
Algoritm: Lanczos (a=4) | Time: 310 ms | PSNR: 19.132174 | SSIM: 0.888380 | RMSE: 28.179384
Algoritm: OpenCV Nearest | Time: 0 ms | PSNR: 19.132174 | SSIM: 0.888380 | RMSE: 28.179384
Algoritm: OpenCV Bilinear | Time: 1 ms | PSNR: 20.898891 | SSIM: 0.909192 | RMSE: 22.992999
Algoritm: OpenCV Bicubic | Time: 2 ms | PSNR: 20.938582 | SSIM: 0.910625 | RMSE: 22.888171
Algoritm: OpenCV Lanczos | Time: 3 ms | PSNR: 20.668036 | SSIM: 0.899984 | RMSE: 23.612305

=== Testing on: binaryflower | Scale: 1.5 x 0.75 ===
Algoritm: Nearest | Time: 6 ms | PSNR: 21.494328 | SSIM: 0.939267 | RMSE: 21.469592
Algoritm: Bilinear | Time: 23 ms | PSNR: 24.118255 | SSIM: 0.961040 | RMSE: 15.871846
Algoritm: Bicubic (a=-0.5) | Time: 231 ms | PSNR: 24.334588 | SSIM: 0.963390 | RMSE: 15.481419
Algoritm: Bicubic (a=-0.7) | Time: 206 ms | PSNR: 24.317825 | SSIM: 0.963240 | RMSE: 15.511327
Algoritm: Bicubic (a=-1.0) | Time: 169 ms | PSNR: 24.275336 | SSIM: 0.962855 | RMSE: 15.587389
Algoritm: Lanczos (a=2) | Time: 428 ms | PSNR: 24.313664 | SSIM: 0.963183 | RMSE: 15.518758
Algoritm: Lanczos (a=3) | Time: 1017 ms | PSNR: 24.335432 | SSIM: 0.962120 | RMSE: 15.479916
Algoritm: Lanczos (a=4) | Time: 1732 ms | PSNR: 24.273473 | SSIM: 0.959568 | RMSE: 15.590733
Algoritm: OpenCV Nearest | Time: 0 ms | PSNR: 21.494328 | SSIM: 0.939267 | RMSE: 21.469592
Algoritm: OpenCV Bilinear | Time: 7 ms | PSNR: 24.838827 | SSIM: 0.966504 | RMSE: 14.608272
Algoritm: OpenCV Bicubic | Time: 2 ms | PSNR: 25.265752 | SSIM: 0.969991 | RMSE: 13.907613
Algoritm: OpenCV Lanczos | Time: 12 ms | PSNR: 25.233936 | SSIM: 0.965717 | RMSE: 13.958648

=== Testing on: balloons | Scale: 2 x 2 ===
Algoritm: Nearest | Time: 7 ms | PSNR: inf | SSIM: 1.000000 | RMSE: 0.000000
Algoritm: Bilinear | Time: 27 ms | PSNR: 33.712094 | SSIM: 0.978327 | RMSE: 5.259391
Algoritm: Bicubic (a=-0.5) | Time: 269 ms | PSNR: 33.689353 | SSIM: 0.978688 | RMSE: 5.273179
Algoritm: Bicubic (a=-0.7) | Time: 271 ms | PSNR: 33.532466 | SSIM: 0.978162 | RMSE: 5.369290
Algoritm: Bicubic (a=-1.0) | Time: 622 ms | PSNR: 33.283793 | SSIM: 0.977169 | RMSE: 5.525232
Algoritm: Lanczos (a=2) | Time: 787 ms | PSNR: 33.689200 | SSIM: 0.978681 | RMSE: 5.273272
Algoritm: Lanczos (a=3) | Time: 2374 ms | PSNR: 33.436634 | SSIM: 0.977635 | RMSE: 5.428858
Algoritm: Lanczos (a=4) | Time: 2610 ms | PSNR: 33.399234 | SSIM: 0.977323 | RMSE: 5.452284
Algoritm: OpenCV Nearest | Time: 1 ms | PSNR: inf | SSIM: 1.000000 | RMSE: 0.000000
Algoritm: OpenCV Bilinear | Time: 14 ms | PSNR: 36.900807 | SSIM: 0.988373 | RMSE: 3.643341
Algoritm: OpenCV Bicubic | Time: 1 ms | PSNR: 44.063157 | SSIM: 0.997485 | RMSE: 1.597285
Algoritm: OpenCV Lanczos | Time: 7 ms | PSNR: 44.984342 | SSIM: 0.998029 | RMSE: 1.436558

=== Testing on: balloons | Scale: 0.5 x 0.5 ===
Algoritm: Nearest | Time: 0 ms | PSNR: 26.894686 | SSIM: 0.895929 | RMSE: 11.529378
Algoritm: Bilinear | Time: 3 ms | PSNR: 26.894686 | SSIM: 0.895929 | RMSE: 11.529378
Algoritm: Bicubic (a=-0.5) | Time: 25 ms | PSNR: 26.894686 | SSIM: 0.895929 | RMSE: 11.529378
Algoritm: Bicubic (a=-0.7) | Time: 13 ms | PSNR: 26.894686 | SSIM: 0.895929 | RMSE: 11.529378
Algoritm: Bicubic (a=-1.0) | Time: 16 ms | PSNR: 26.894686 | SSIM: 0.895929 | RMSE: 11.529378
Algoritm: Lanczos (a=2) | Time: 37 ms | PSNR: 26.894686 | SSIM: 0.895929 | RMSE: 11.529378
Algoritm: Lanczos (a=3) | Time: 91 ms | PSNR: 26.894686 | SSIM: 0.895929 | RMSE: 11.529378
Algoritm: Lanczos (a=4) | Time: 225 ms | PSNR: 26.894686 | SSIM: 0.895929 | RMSE: 11.529378
